"","F1_126(Abundance Ratio)","F1_128C(Abundance Ratio)","F1_127C(Abundance Ratio)","F1_130C(Abundance Ratio)","F1_129C(Abundance Ratio)","F1_132C(Abundance Ratio)","F2_127N(Abundance Ratio)","F1_133C(Abundance Ratio)","F2_129N(Abundance Ratio)","F2_128N(Abundance Ratio)","F2_130N(Abundance Ratio)","F2_133N(Abundance Ratio)","F3_127N(Abundance Ratio)","F3_129N(Abundance Ratio)","F3_128N(Abundance Ratio)","F3_130N(Abundance Ratio)","F3_133N(Abundance Ratio)","F3_132N(Abundance Ratio)","F4_127C(Abundance Ratio)","F4_126(Abundance Ratio)","F4_129C(Abundance Ratio)","F4_128C(Abundance Ratio)","F4_130C(Abundance Ratio)","F5_127C(Abundance Ratio)","F5_129C(Abundance Ratio)","F5_128C(Abundance Ratio)","F5_131C(Abundance Ratio)","F5_130C(Abundance Ratio)","F5_133C(Abundance Ratio)","F5_132C(Abundance Ratio)","F6_128N(Abundance Ratio)","F6_127N(Abundance Ratio)","F6_130N(Abundance Ratio)","F6_129N(Abundance Ratio)","F6_131N(Abundance Ratio)","F1_126(Abundances)","F1_128N(Abundances)","F1_130N(Abundances)","F1_129N(Abundances)","F1_132N(Abundances)","F1_131N(Abundances)","F1_134N(Abundances)","F2_128N(Abundances)","F2_127N(Abundances)","F2_130N(Abundances)","F2_129N(Abundances)","F2_131N(Abundances)","F3_127C(Abundances)","F3_129C(Abundances)","F3_128C(Abundances)","F3_131C(Abundances)","F3_130C(Abundances)","F3_133C(Abundances)","F4_127C(Abundances)","F4_126(Abundances)","F4_129C(Abundances)","F4_130C(Abundances)","F4_133C(Abundances)","F5_127N(Abundances)","F5_129N(Abundances)","F5_128N(Abundances)","F5_131N(Abundances)","F5_130N(Abundances)","F5_133N(Abundances)","F6_127N(Abundances)","F5_134N(Abundances)","F6_129N(Abundances)","F6_128N(Abundances)","F6_130N(Abundances)","F6_133N(Abundances)","F1_127N(Abundance Ratio)","F1_129N(Abundance Ratio)","F1_128N(Abundance Ratio)","F1_131N(Abundance Ratio)","F1_130N(Abundance Ratio)","F1_133N(Abundance Ratio)","F2_127C(Abundance Ratio)","F2_126(Abundance Ratio)","F2_129C(Abundance Ratio)","F2_128C(Abundance Ratio)","F2_130C(Abundance Ratio)","F2_133C(Abundance Ratio)","F3_126(Abundance Ratio)","F3_127C(Abundance Ratio)","F3_129C(Abundance Ratio)","F3_128C(Abundance Ratio)","F3_130C(Abundance Ratio)","F3_133C(Abundance Ratio)","F3_132C(Abundance Ratio)","F4_128N(Abundance Ratio)","F4_127N(Abundance Ratio)","F4_130N(Abundance Ratio)","F4_129N(Abundance Ratio)","F4_131N(Abundance Ratio)","F5_127N(Abundance Ratio)","F5_128N(Abundance Ratio)","F5_130N(Abundance Ratio)","F5_129N(Abundance Ratio)","F5_132N(Abundance Ratio)","F5_131N(Abundance Ratio)","F6_126(Abundance Ratio)","F5_133N(Abundance Ratio)","F6_128C(Abundance Ratio)","F6_127C(Abundance Ratio)","F6_130C(Abundance Ratio)","F6_129C(Abundance Ratio)","F6_131C(Abundance Ratio)","F1_127N(Abundances)","F1_127C(Abundances)","F1_128C(Abundances)","F1_130C(Abundances)","F1_129C(Abundances)","F1_132C(Abundances)","F1_131C(Abundances)","F2_126(Abundances)","F2_128C(Abundances)","F2_127C(Abundances)","F2_130C(Abundances)","F2_129C(Abundances)","F2_131C(Abundances)","F3_127N(Abundances)","F3_128N(Abundances)","F3_130N(Abundances)","F3_129N(Abundances)","F3_132N(Abundances)","F3_131N(Abundances)","F3_134N(Abundances)","F4_128N(Abundances)","F4_127N(Abundances)","F4_130N(Abundances)","F4_131N(Abundances)","F4_134N(Abundances)","F5_126(Abundances)","F5_127C(Abundances)","F5_129C(Abundances)","F5_128C(Abundances)","F5_131C(Abundances)","F5_130C(Abundances)","F5_133C(Abundances)","F6_127C(Abundances)","F6_126(Abundances)","F6_129C(Abundances)","F6_128C(Abundances)","F6_130C(Abundances)","F6_133C(Abundances)","F6_134N(Abundances)"
"P04114",1.535,1.136,1.245,1.53,1.242,0.822,1.163,0.855,1.88,1.866,0.995,1.488,1.255,0.935,1.044,0.718,0.89,0.801,1.231,1.062,0.788,1.624,0.888,0.863,0.925,0.981,0.137,1.035,0.718,0.772,0.791,0.972,1.066,1.136,0.621,133,71,123.7,123.2,65.1,65,86.7,155.3,96.8,82.8,156.5,99.2,106.6,165.7,130.4,94.7,80.8,74.8,125.3,108.2,80.2,90.4,70.4,122.7,109.8,134.2,104.2,116.1,100.8,98.8,114.8,115.6,80.5,108.4,121.5,1.444,1.421,0.819,0.75,1.427,1.627,0.514,1.502,1.737,0.779,1.114,0.998,1.206,1.066,1.657,1.305,0.809,0.748,0.931,1.323,0.709,0.842,0.964,1.057,1.069,1.17,1.012,0.957,0.762,0.908,1.145,0.878,1.029,1.261,1.295,0.908,0.584,125.2,107.9,98.5,132.6,107.6,71.3,74,125.1,64.9,42.8,92.8,144.6,97.9,125.5,104.4,71.7,93.5,80.1,69.3,100,134.7,72.2,85.8,107.6,101.8,86.7,99,106.2,112.5,15.7,118.8,82.3,128.3,116.5,92.3,104.7,131.7,78,101.7
"P01024",1.243,1.079,1.166,0.82,1.005,0.994,0.943,1.153,0.854,1.069,0.633,0.982,1.014,1.167,1.1,1,1.002,1.025,0.993,1.056,1.108,1.289,1.044,1.064,0.871,1.111,0.33,0.993,1.038,0.785,1.007,1.084,0.903,1.125,0.849,119.3,101.3,84.4,112.4,90.5,75,96,117,103.3,69.3,93.6,94.7,82.1,111.1,98.3,114.9,89.9,110.3,96.3,102.5,107.5,101.3,97.3,97.4,89.5,119,95.8,129.1,102.3,106,107.8,110,98.5,88.3,95.7,1.067,1.172,1.056,0.782,0.879,1.258,0.728,1.068,1.202,0.957,0.811,0.886,1.016,0.824,1.114,0.986,0.902,1.106,0.816,1.21,1.073,0.977,0.913,0.92,0.904,1.104,1.198,0.83,0.931,0.889,1.118,0.949,1.159,0.998,1.113,0.975,0.856,102.4,111.8,103.6,78.7,96.4,95.4,101.4,117,104.9,79.7,88.8,131.6,100.5,101.1,109.7,99.7,116.4,102.2,82,99.7,117.5,104.1,94.8,89.3,97,91.7,114.7,93.8,119.7,35.5,107,111.9,97.5,109.3,95.3,113.3,108.8,108.1,97.8
"P02768",0.904,0.925,0.94,0.784,0.833,1.045,1.057,1.108,0.87,0.85,0.873,0.814,1.117,0.805,0.786,1.05,1.024,0.947,1.029,1.049,0.968,0.717,0.62,1.041,1.156,0.776,2.441,1.065,1.053,1.171,0.938,1.023,1.133,1.027,1.206,93.4,96.5,79.7,102.8,107,122.2,103.3,86.9,108,89.2,88.9,111,104.7,95.3,71,108.5,111.2,106.7,101.7,103.8,95.7,61.3,97,93.9,91.7,71.3,107.5,75.3,95.1,101.4,89.6,101.8,93,112.3,73.6,1.03,0.995,0.933,1.183,0.771,0.897,0.954,1.047,0.886,0.917,0.933,1.019,0.995,1.041,0.947,0.706,1.106,1.061,1.011,0.831,1.055,1.033,0.963,1.099,1.049,0.795,0.841,1.023,1.156,1.2,1.078,1.061,0.903,0.907,0.91,0.97,1.053,106.4,97.1,95.6,81,86.1,108,113.8,107,93.7,97.5,95.3,90.5,106.3,112.3,79.1,105.6,80.9,95.2,124.1,100.6,82.1,104.4,102.2,108.6,98.9,92.6,93.3,103.5,69.5,218.7,95.4,94.3,89.9,106.8,96.1,89.5,90.2,105,99.1
"P01023",0.742,0.746,0.799,2.05,0.895,0.959,0.774,0.75,1.71,1.044,1.5,0.91,0.908,0.964,0.817,1.536,1.477,1.019,1.016,1.085,0.946,0.751,1.226,1.122,0.893,0.809,0.196,1.056,0.837,1.085,0.78,1.325,0.829,0.854,1.239,72.4,90.5,126.3,119.3,101.7,104,97.5,99.6,73.8,143.1,163.1,77.4,116,80.9,68.4,72.2,199.3,78.7,106.1,113.3,98.8,128.1,97.6,91.7,151.6,100.8,81.1,102.6,93,134.9,110,86.9,79.4,84.4,71.9,0.897,1.223,0.928,1.066,1.295,0.737,1.001,0.963,0.975,1.101,0.857,0.857,0.781,1.235,0.861,0.728,2.123,0.838,1.011,0.798,0.877,0.705,1.231,0.866,0.834,0.917,0.934,1.379,0.867,0.737,0.667,0.846,1.195,1.034,1.785,0.963,0.943,87.5,78,72.7,199.9,87.2,93.5,124.6,91.9,105,95.5,81.8,93,75.3,85.3,76.7,144.3,90.5,95.7,91.2,93.9,83.4,91.6,73.6,90.5,104.5,114.3,123.3,98.2,89,21.5,116.1,92,105.3,67.9,98,121.7,181.7,84.6,101.8
"P02751",1.687,0.618,0.805,0.673,1.334,0.993,1.287,1.16,1.208,1.265,0.663,1.42,1.21,0.682,0.566,0.81,0.841,1.41,1.8,0.693,1.354,0.85,0.451,0.667,1.288,0.848,0.148,0.97,1.191,1.227,0.829,0.97,1.127,1.142,0.874,160.1,61.6,72,90.1,96.8,102.9,94.9,114.7,116.7,60.2,109.6,121.8,92.1,113.8,87.7,111.3,82.3,100.6,183.9,70.8,138.3,46.1,93.5,95.4,95.2,68.7,130.5,48.7,142.1,104.8,104,123.4,89.6,121.8,87.6,1.457,0.949,0.649,1.085,0.759,1.721,0.864,0.923,0.716,0.913,1.16,1.45,1.502,0.898,1.109,0.854,0.801,0.98,1.107,0.63,1.065,1.294,0.95,0.909,0.918,0.661,0.468,0.915,1.503,1.254,1.119,1.366,0.76,0.536,0.534,1.17,0.901,138.3,76.4,58.7,63.9,126.6,94.3,89.9,83.7,82.8,78.4,105.2,64.9,102.5,124.2,58.1,83.1,70,144.8,75.1,102.7,64.3,108.8,132.1,92.8,102.1,99.8,69.4,134,88.2,15.3,100.8,123.8,57.9,120.9,126.4,82.1,57.6,111.1,108
"P0C0L5",0.923,1.422,2.302,0.768,0.848,0.811,0.932,1.078,0.79,0.715,0.849,0.788,1.078,0.897,1.337,1.153,1.181,1.179,1.011,1.318,0.937,0.91,0.868,1.216,0.766,0.936,0.108,1.007,0.827,0.632,1.046,0.339,0.924,1.064,0.644,87.1,103.9,113,125.2,65.4,80.4,94.4,76.3,99.5,90.6,84.3,109.4,108.4,120.7,101.1,71.8,86.7,75.4,108.4,141.4,100.5,93.1,71,55,91.3,122,83.2,132.6,140.5,37.1,117.7,116.6,114.6,101.2,99.4,0.828,1.327,1.101,0.852,1.198,0.987,0.546,1.131,1.263,1.215,1.106,1.06,1.091,1.114,1.242,1.039,0.892,0.776,0.899,0.707,0.724,0.929,1.25,0.889,0.467,1.037,1.126,0.776,0.889,0.707,1.138,1.193,1.196,1.044,1.387,0.642,0.682,78.2,217.3,134.2,72.5,80.1,76.5,76.9,120.7,129.6,58.3,118,134.8,105.9,104.9,130,112.1,87.3,114.7,81.2,97.3,75.8,77.7,99.6,95.4,107.3,106.3,143.1,90.2,110.2,12.7,118.5,97.4,114.4,124.7,70.4,131.1,152,85.1,109.6
"P0C0L4",1.28,1.52,1.867,0.736,0.728,1.057,0.751,1.003,0.749,0.792,0.64,0.73,1.016,0.849,1.291,1.165,1.241,1.109,0.986,1.025,0.84,1.045,0.888,1.244,0.729,1.069,0.255,0.94,0.934,0.772,1.185,0.717,0.852,0.956,0.893,119.5,93.1,88.4,129.4,59.7,75.1,93.4,81.2,77,65.6,76.7,114.7,101.1,141,87.2,71.9,89.4,106.1,104.4,108.6,89,94,89.4,81.7,82.8,121.2,96.2,131.1,119.3,71.5,111.4,95.4,118.2,85,85.7,0.874,1.385,0.997,0.804,0.946,1.285,0.738,1.156,1.513,2.153,0.868,0.972,1.025,1.018,1.419,0.878,0.9,1.068,0.691,0.894,0.933,1.061,1.079,0.739,0.734,1.088,1.177,0.743,0.874,0.864,1.192,1.071,1.207,0.969,1.605,0.669,0.789,81.7,174.4,141.9,68.7,68,98.7,94.7,118.4,220.6,75.6,88.9,155,122.2,101,128.2,115.7,84.3,110.2,70.8,99.3,94.7,98.8,112.3,78.3,105.9,97,138.6,81.2,119.1,28.4,104.7,104.1,96.7,118.9,66.8,120.4,160.1,106.9,99.8
"P02787",0.945,0.76,0.838,0.756,0.797,1.132,0.821,1.055,0.9,0.799,0.793,0.787,1.039,0.806,0.703,1.105,1.069,0.992,0.899,0.957,0.958,0.707,0.601,0.982,1.065,0.874,0.652,1.23,1.01,1.097,0.975,1.164,1.178,1.015,1.363,102.8,94.4,63.8,119.3,99.1,106.1,108.8,82.2,84.5,81.6,92.6,99.2,98.9,86.7,70.2,111.5,120,99.7,94.9,101.1,101.1,63.5,84.6,103.6,108.5,62.1,127.4,89.6,111.9,110.9,99.4,96.7,93,112.3,66.1,0.901,1.096,0.867,0.975,0.586,0.934,1.211,0.87,0.909,1.031,0.954,1.161,0.998,0.951,0.833,0.675,1.153,0.959,1.02,0.791,1.163,1.009,1.135,1.128,1.043,0.625,0.902,1.092,1.071,1.283,0.887,1.126,1.014,0.981,0.784,1.156,1.309,98,91.2,82.7,82.3,86.7,123.2,124.9,89.5,106,124.6,98.1,93.5,112.6,108,73.1,114.9,83.9,103.1,105,104,83.5,122.9,106.6,119.1,105.6,104.4,97.6,105.8,86.8,64.8,122.2,100.3,93.5,84.6,110.2,96.7,74.7,91.7,95.3
"P00450",1.08,1.1,1.219,1.104,1.074,1.109,0.846,1.042,0.985,0.953,0.779,1.026,1.015,1.529,1.087,0.983,0.956,0.775,0.888,1.048,0.802,1.248,1.337,0.959,0.754,1.205,0.222,0.958,0.956,0.828,1.032,0.983,0.856,0.885,0.826,104,97.8,123.9,94.4,93.6,58.2,96.2,102.6,91.1,83.9,106.1,101.4,94.4,96.1,102.4,90.7,115.8,99.6,90.6,107,81.8,136.4,112.2,104.7,124.4,138.3,70.6,131.8,91.3,101.7,107.7,91.5,106.7,88.5,101.1,1.018,0.981,1.016,0.604,1.287,1.094,0.882,0.697,1.15,1.106,1.198,0.821,0.848,0.936,0.953,1.015,1.149,0.988,0.914,1.172,0.941,0.834,0.883,0.742,0.972,1.284,1.224,1.155,0.816,0.656,0.94,0.848,1.045,1.108,1.296,0.887,0.959,98,117.3,105.9,106.3,103.3,106.8,88.8,75.1,119.1,95,129,123.9,90.2,102.4,109.6,99.1,154.2,78.1,82.8,100.8,119.6,96,85.1,75.8,102,110,103.3,81.2,129.8,23.9,103.2,102.9,114.6,97.2,91.7,108,134.1,103.6,103.4
"P08603",1.096,0.951,1.032,0.966,0.889,1.115,1.038,1.105,1.06,0.926,0.756,0.85,1.021,1.168,1.018,0.919,0.897,1.005,1,1.142,1.17,1.147,1.101,1.037,0.924,1.068,0.167,1.033,1.056,0.849,0.98,1.04,0.944,1.111,0.892,106,102.2,111.8,103.8,88.1,79.4,96.7,98.4,110.3,80.3,112.7,105.1,87.9,98.3,96.1,114.6,81.5,111.1,98.7,112.8,115.5,108.7,102.1,100.6,91.3,129.3,109.5,111.2,109.5,101.8,108.6,108.7,95.9,92.4,91.6,1.198,1.074,1.057,0.821,1.156,1.096,0.827,1.039,1.103,0.988,0.847,0.942,1.083,0.858,0.959,0.938,0.795,1.084,0.931,0.999,0.947,1.079,0.988,1.149,0.927,1.191,1.024,0.841,0.945,1.008,1.173,1.008,0.998,0.946,1.025,1.014,0.932,115.8,99.8,92,93.4,85.9,107.8,104.5,110.4,105,87.9,90,117.2,109.8,104.7,104.4,94.2,119.7,103,83.7,102.5,98.7,93.5,106.5,113.5,98.7,71.4,112.6,100.3,115.9,18.1,112.2,114.7,92.5,114.8,99.2,97.7,100.3,108.5,97.8
"P01031",1.2,1.06,1.338,0.818,1.34,0.977,1.007,1.272,1.004,1.105,0.721,1.445,0.974,1.217,1.098,0.939,1.046,1.359,1.034,0.985,1.123,1.412,1.291,0.927,1.015,1.354,0.082,0.896,1.18,0.793,0.874,0.951,0.806,0.837,0.749,112.4,84.1,104.3,77.6,103.1,78.6,93.6,113.9,103.9,74.4,103.6,99.4,76.1,105,115.3,101.6,76,119.4,106,100.9,115,132.2,101,103.6,96.4,142.9,78.7,108.5,99.3,98.2,105.1,86.5,90.3,83.2,112.9,1.168,0.829,0.898,0.839,1.114,1.247,0.554,0.895,1.368,0.887,0.973,1.034,1.205,0.787,1.086,1.193,0.786,1.235,0.758,1.174,0.708,0.992,1.015,0.859,0.986,1.36,1.032,0.917,1.018,0.748,1.163,0.945,0.872,1.032,1.105,0.951,0.798,109.4,125.3,99.3,76.6,125.5,91.5,82.8,92.3,91.5,57.2,100.3,141.1,98.1,94.1,106.2,90.8,117.7,131.4,78.6,96.7,120.2,72.5,101.6,88,102.4,101.8,97.5,106.7,142.3,8.6,94.2,124,106.6,120.1,98.2,90,114.1,122.6,103.2
