"","F7_126(Abundance Ratio)","F7_128C(Abundance Ratio)","F7_127C(Abundance Ratio)","F7_130C(Abundance Ratio)","F7_129C(Abundance Ratio)","F7_132C(Abundance Ratio)","F8_127N(Abundance Ratio)","F7_133C(Abundance Ratio)","F8_129N(Abundance Ratio)","F8_128N(Abundance Ratio)","F8_133N(Abundance Ratio)","F7_127N(Abundances)","F7_129N(Abundances)","F7_128N(Abundances)","F7_131N(Abundances)","F7_130N(Abundances)","F7_133N(Abundances)","F8_127N(Abundances)","F7_134N(Abundances)","F8_129N(Abundances)","F8_128N(Abundances)","F8_133N(Abundances)","F7_127N(Abundance Ratio)","F7_129N(Abundance Ratio)","F7_128N(Abundance Ratio)","F7_131N(Abundance Ratio)","F7_130N(Abundance Ratio)","F7_133N(Abundance Ratio)","F8_127C(Abundance Ratio)","F8_126(Abundance Ratio)","F8_129C(Abundance Ratio)","F8_128C(Abundance Ratio)","F8_133C(Abundance Ratio)","F7_126(Abundances)","F7_127C(Abundances)","F7_129C(Abundances)","F7_128C(Abundances)","F7_131C(Abundances)","F7_130C(Abundances)","F7_133C(Abundances)","F8_127C(Abundances)","F8_126(Abundances)","F8_129C(Abundances)","F8_128C(Abundances)","F8_133C(Abundances)","F8_134N(Abundances)"
"P04114",1.13,0.916,1.081,1.058,0.833,0.788,0.814,0.609,1.012,1.022,0.853,132.8,122.5,111,84.1,113.4,105.6,86.5,103.7,107.5,108.5,90.6,1.28,1.181,1.07,0.811,1.093,1.018,1.418,1.068,0.671,1.262,0.91,117.2,112.2,86.4,95,83.1,109.7,63.2,150.6,113.4,71.3,134.1,96.6,106.2
"P01024",1.001,1.164,1.394,0.958,0.851,1.174,0.872,0.943,0.59,1.075,0.96,132.7,101.2,108.8,77.2,107.2,57.4,88.5,96.8,59.9,109.1,97.4,1.371,1.045,1.125,0.798,1.108,0.593,1.213,1.105,0.919,1.129,0.979,96.9,134.9,82.3,112.7,92.5,92.7,91.3,123.1,112.1,93.3,114.6,99.4,101.5
"P02768",1.042,0.804,0.856,0.93,1.057,0.912,0.963,0.769,0.663,0.877,1.062,86.4,110.9,98.6,121.6,99.4,67.9,100,106.2,68.8,91,110.2,0.813,1.044,0.928,1.144,0.935,0.64,0.943,0.995,1.112,0.948,0.964,110.7,91,112.3,85.4,113.4,98.8,81.7,97.9,103.2,115.4,98.4,100,103.8
"P01023",0.837,0.802,1.454,1.05,1.101,1.125,0.976,0.905,0.893,0.929,0.919,95.4,81.5,104.9,89.1,79,92.1,101.3,101.4,92.7,96.5,95.5,0.941,0.804,1.035,0.879,0.78,0.908,0.608,0.848,0.894,1.202,0.984,84.9,147.4,111.6,81.3,93.1,106.4,91.7,63.1,88.1,92.8,124.8,102.2,103.8
"P02787",1.077,0.76,0.765,1.464,1.142,1.081,0.972,0.678,0.705,0.924,1.248,87.1,112,88,142.1,72.7,65.6,98.6,101,71.5,93.6,126.5,0.863,1.109,0.872,1.407,0.72,0.65,0.755,0.933,1.023,0.891,1.145,108.8,77.2,115.3,76.7,130.8,147.8,68.4,76.5,94.6,103.7,90.3,116,101.4
"P02751",1.107,0.712,0.872,1.069,1.289,1.132,0.853,1.042,0.741,0.802,1.252,93.4,122,68.1,123.2,81.4,74.1,87.1,96.5,75.6,81.8,127.8,0.967,1.264,0.705,1.276,0.843,0.768,0.705,1.102,1.249,0.996,1.165,106.8,84.1,124.4,68.8,119.9,103.2,100.5,71.9,112.5,127.4,101.6,118.9,102.1
"P0C0L5",1.183,1.728,1.357,0.666,1.207,1.155,0.738,0.94,0.772,1.229,0.932,91.7,82.8,115.2,78.7,103.4,55.6,70.7,93.2,74,117.8,89.4,0.983,0.888,1.236,0.845,1.109,0.597,1.824,1.167,0.663,1.532,0.806,110.3,126.5,112.5,161.1,108.7,62.1,87.6,174.8,111.9,63.5,146.8,77.3,95.9
"P0C0L4",1.259,1.655,1.618,0.664,0.838,1.028,1.023,0.903,0.493,1.021,0.77,83.1,110.3,125.8,97.1,101.8,46.8,103.9,96.5,50.1,103.7,78.3,0.861,1.143,1.304,1.007,1.055,0.485,1.631,1.467,0.6,1.349,0.709,121.5,156,80.9,159.7,76.1,64.1,87.1,165.6,149,61,137,72,101.6
"P08603",1.072,1.174,1.33,0.832,0.971,1.281,1.007,1.043,0.688,1.095,0.986,114.7,97.7,105.2,85.3,110,65.3,100.1,95.6,68.4,108.9,98.1,1.199,1.022,1.1,0.892,1.15,0.682,1.216,1.119,0.927,1.086,1.055,102.5,127.2,92.8,112.2,99.8,79.6,99.8,121,111.3,92.2,108,104.9,99.4
"P00450",0.984,1.212,0.941,1.056,0.902,1.025,0.912,0.959,1.513,1.242,0.912,120.7,88.7,98.7,79.9,88.8,146.6,85.4,98.2,141.7,116.3,85.4,1.23,0.903,1.005,0.814,0.905,1.493,1.316,0.997,0.919,1.177,0.899,96.6,92.4,88.6,119,93.6,103.7,94.2,123.2,93.4,86,110.2,84.1,93.6
"P01031",1.105,1.181,1.46,0.62,0.961,1.367,0.824,1.613,0.722,1.074,0.862,122,96.4,86.1,69.2,97.9,73.8,81,95.1,71,105.6,84.8,1.283,1.014,0.905,0.727,1.03,0.776,1.186,1.127,0.884,1.158,0.943,105.1,138.9,91.4,112.3,82.8,58.9,153.4,116.6,110.8,86.9,113.9,92.7,98.3
"P04275",0.717,1.474,1.202,0.876,0.646,1.278,0.804,1.406,1.894,1.612,0.651,90.9,95.3,129.8,40.6,69.3,168.4,72.5,93.8,170.9,145.4,58.8,0.969,1.016,1.383,0.433,0.739,1.795,0.819,0.745,0.956,1.395,0.752,67.2,112.8,60.6,138.3,60.4,82.1,131.9,73.9,67.2,86.2,125.9,67.8,90.2
"P01009",0.857,1.318,0.995,1.105,0.806,1.108,0.996,0.952,1.138,1.218,0.882,122.3,75,138.6,70.1,94.9,111.3,101.4,99.8,115.9,124,89.8,1.226,0.751,1.39,0.702,0.951,1.115,1.257,0.906,0.868,1.145,0.798,85.5,99.3,80.4,131.5,83.6,110.2,95,128,92.2,88.4,116.6,81.2,101.8
"P00747",1.063,1.136,1.228,0.915,1.123,1.072,0.922,0.967,0.659,1.035,0.999,120.7,98.6,91.8,99.9,98.4,62.9,90.3,97.3,64.6,101.5,97.9,1.24,1.013,0.944,1.026,1.011,0.646,1.139,1.135,1.071,0.94,1.182,103.4,119.6,109.4,110.5,98.4,89.1,94.1,111.6,111.2,104.9,92.1,115.9,98
