task,model,penalty,C,l1_ratio,top_k_features,train_samples,test_samples,features,cv_accuracy_mean,cv_balanced_accuracy_mean,cv_f1_mean,cv_roc_auc_mean,cv_auprc_mean,test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_auprc,nonzero_coefficients
healthy_vs_infected,l1_C=1,l1,1.0,,5000,72,18,35882,0.9447619047619048,0.9459090909090909,0.9595959595959596,0.9627272727272727,0.987862258953168,1.0,1.0,1.0,1.0,1.0,1.0,1.0,67
healthy_vs_infected,l1_C=10,l1,10.0,,5000,72,18,35882,0.9447619047619048,0.9309090909090909,0.9618181818181819,0.9672727272727272,0.9896804407713498,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200
healthy_vs_infected,elasticnet_C=0.1_l1_ratio=0.5,elasticnet,0.1,0.5,5000,72,18,35882,0.917142857142857,0.9277272727272727,0.9396825396825396,0.9681818181818181,0.9896602387511478,1.0,1.0,1.0,1.0,1.0,1.0,1.0,64
healthy_vs_infected,l1_C=0.1,l1,0.1,,5000,72,18,35882,0.8904761904761903,0.9012121212121211,0.9151138716356109,0.9596969696969697,0.9864921946740128,0.9444444444444444,0.9642857142857143,1.0,0.9285714285714286,0.9629629629629629,0.9821428571428572,0.9952380952380953,4
healthy_vs_infected,elasticnet_C=1_l1_ratio=0.5,elasticnet,1.0,0.5,5000,72,18,35882,0.8485714285714285,0.8972727272727272,0.8802614379084968,0.9627272727272727,0.987862258953168,0.9444444444444444,0.9642857142857143,1.0,0.9285714285714286,0.9629629629629629,1.0,1.0,799
healthy_vs_infected,normal_default_l2_C=1,l2,1.0,,5000,72,18,35882,0.7933333333333333,0.86,0.82953216374269,0.9245454545454544,0.9738414565232747,0.7777777777777778,0.8571428571428572,1.0,0.7142857142857143,0.8333333333333334,0.9821428571428572,0.9952380952380953,5000
healthy_vs_infected,l2_C=0.1,l2,0.1,,5000,72,18,35882,0.7657142857142858,0.8418181818181818,0.8022875816993464,0.9204545454545455,0.9727183372183372,0.7777777777777778,0.8571428571428572,1.0,0.7142857142857143,0.8333333333333334,0.9821428571428572,0.9952380952380953,5000
healthy_vs_infected,l2_C=10,l2,10.0,,5000,72,18,35882,0.7647619047619048,0.8418181818181818,0.8022875816993464,0.9295454545454545,0.975123507805326,0.7777777777777778,0.8571428571428572,1.0,0.7142857142857143,0.8333333333333334,0.9821428571428572,0.9952380952380953,5000
healthy_vs_infected,l2_C=0.01,l2,0.01,,5000,72,18,35882,0.7647619047619048,0.8409090909090908,0.7984864121087031,0.93,0.976458006639825,0.7777777777777778,0.8571428571428572,1.0,0.7142857142857143,0.8333333333333334,0.9821428571428572,0.9952380952380953,5000
healthy_vs_infected,l1_C=0.01,l1,0.01,,5000,72,18,35882,0.24952380952380954,0.5,0.0,0.5,0.7504761904761905,0.2222222222222222,0.5,0.0,0.0,0.0,0.5,0.7777777777777778,0
