task,model,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_lambda,reg_alpha,gamma,n_estimators_max,early_stopping_rounds,train_samples,test_samples,features,cv_accuracy_mean,cv_balanced_accuracy_mean,cv_f1_mean,cv_roc_auc_mean,cv_best_iteration_mean
healthy_vs_infected,xgb_lr=0.1_depth=4_sub=1.0_col=0.8_lambda=5.0_alpha=0.0_gamma=0.0_mcw=1.0,0.1,4,1.0,1.0,0.8,5.0,0.0,0.0,2000,50,72,18,35882,0.9027777777777777,0.8240740740740741,0.938296596191333,0.9706790123456791,709.3333333333334
healthy_vs_infected,xgb_lr=0.05_depth=2_sub=0.7_col=1.0_lambda=0.0_alpha=0.1_gamma=0.5_mcw=2.0,0.05,2,2.0,0.7,1.0,0.0,0.1,0.5,2000,50,72,18,35882,0.8888888888888888,0.7962962962962963,0.9306042884990253,0.9845679012345679,70.0
healthy_vs_infected,xgb_lr=0.1_depth=6_sub=1.0_col=1.0_lambda=1.0_alpha=1.0_gamma=0.0_mcw=2.0,0.1,6,2.0,1.0,1.0,1.0,1.0,0.0,2000,50,72,18,35882,0.8888888888888888,0.7962962962962963,0.9298245614035087,0.9814814814814815,39.0
healthy_vs_infected,xgb_lr=0.1_depth=6_sub=0.5_col=1.0_lambda=0.0_alpha=1.0_gamma=0.0_mcw=1.0,0.1,6,1.0,0.5,1.0,0.0,1.0,0.0,2000,50,72,18,35882,0.875,0.7685185185185186,0.9225699383594121,0.9444444444444443,225.0
healthy_vs_infected,xgb_lr=0.03_depth=4_sub=0.7_col=0.4_lambda=1.0_alpha=0.5_gamma=0.5_mcw=1.0,0.03,4,1.0,0.7,0.4,1.0,0.5,0.5,2000,50,72,18,35882,0.861111111111111,0.7592592592592592,0.9126940705888075,0.941358024691358,255.33333333333334
healthy_vs_infected,xgb_lr=0.1_depth=5_sub=1.0_col=0.8_lambda=1.0_alpha=0.1_gamma=0.0_mcw=2.0,0.1,5,2.0,1.0,0.8,1.0,0.1,0.0,2000,50,72,18,35882,0.8472222222222222,0.7129629629629629,0.9078100657048025,0.9274691358024691,180.33333333333334
healthy_vs_infected,xgb_lr=0.03_depth=2_sub=0.5_col=1.0_lambda=5.0_alpha=0.5_gamma=0.5_mcw=1.0,0.03,2,1.0,0.5,1.0,5.0,0.5,0.5,2000,50,72,18,35882,0.8472222222222222,0.6944444444444443,0.9084724005134789,0.9814814814814815,673.6666666666666
healthy_vs_infected,xgb_lr=0.1_depth=3_sub=0.85_col=0.4_lambda=5.0_alpha=0.5_gamma=1.0_mcw=2.0,0.1,3,2.0,0.85,0.4,5.0,0.5,1.0,2000,50,72,18,35882,0.8055555555555555,0.6111111111111112,0.8853658536585366,0.95679012345679,128.66666666666666
healthy_vs_infected,xgb_lr=0.1_depth=5_sub=0.7_col=0.6_lambda=10.0_alpha=0.1_gamma=0.0_mcw=2.0,0.1,5,2.0,0.7,0.6,10.0,0.1,0.0,2000,50,72,18,35882,0.7777777777777778,0.5925925925925926,0.8674484052532833,0.7839506172839507,198.66666666666666
healthy_vs_infected,xgb_lr=0.01_depth=5_sub=0.7_col=0.6_lambda=10.0_alpha=0.0_gamma=1.0_mcw=4.0,0.01,5,4.0,0.7,0.6,10.0,0.0,1.0,2000,50,72,18,35882,0.75,0.5,0.8571428571428571,0.5,98.33333333333333
healthy_vs_infected,xgb_lr=0.01_depth=2_sub=1.0_col=0.8_lambda=10.0_alpha=0.5_gamma=1.0_mcw=4.0,0.01,2,4.0,1.0,0.8,10.0,0.5,1.0,2000,50,72,18,35882,0.75,0.5,0.8571428571428571,0.5,1.0
healthy_vs_infected,xgb_lr=0.05_depth=2_sub=0.7_col=0.8_lambda=1.0_alpha=0.0_gamma=1.0_mcw=8.0,0.05,2,8.0,0.7,0.8,1.0,0.0,1.0,2000,50,72,18,35882,0.75,0.5,0.8571428571428571,0.5,1.0
healthy_vs_infected,xgb_lr=0.01_depth=4_sub=0.5_col=1.0_lambda=10.0_alpha=0.1_gamma=0.5_mcw=8.0,0.01,4,8.0,0.5,1.0,10.0,0.1,0.5,2000,50,72,18,35882,0.75,0.5,0.8571428571428571,0.5,1.0
healthy_vs_infected,xgb_lr=0.01_depth=5_sub=0.7_col=0.4_lambda=10.0_alpha=0.1_gamma=1.0_mcw=4.0,0.01,5,4.0,0.7,0.4,10.0,0.1,1.0,2000,50,72,18,35882,0.75,0.5,0.8571428571428571,0.5,27.0
healthy_vs_infected,xgb_lr=0.05_depth=5_sub=0.5_col=0.6_lambda=1.0_alpha=0.1_gamma=0.0_mcw=8.0,0.05,5,8.0,0.5,0.6,1.0,0.1,0.0,2000,50,72,18,35882,0.75,0.5,0.8571428571428571,0.5,1.0
healthy_vs_infected,xgb_lr=0.05_depth=2_sub=0.85_col=1.0_lambda=5.0_alpha=0.1_gamma=1.0_mcw=4.0,0.05,2,4.0,0.85,1.0,5.0,0.1,1.0,2000,50,72,18,35882,0.75,0.5,0.8571428571428571,0.5,17.666666666666668
healthy_vs_infected,xgb_lr=0.03_depth=3_sub=0.7_col=0.4_lambda=1.0_alpha=1.0_gamma=0.0_mcw=8.0,0.03,3,8.0,0.7,0.4,1.0,1.0,0.0,2000,50,72,18,35882,0.75,0.5,0.8571428571428571,0.5,1.0
healthy_vs_infected,xgb_lr=0.03_depth=2_sub=0.7_col=0.6_lambda=0.0_alpha=0.5_gamma=1.0_mcw=4.0,0.03,2,4.0,0.7,0.6,0.0,0.5,1.0,2000,50,72,18,35882,0.75,0.5,0.8571428571428571,0.5,39.0
healthy_vs_infected,xgb_lr=0.01_depth=5_sub=0.5_col=1.0_lambda=0.0_alpha=1.0_gamma=0.0_mcw=4.0,0.01,5,4.0,0.5,1.0,0.0,1.0,0.0,2000,50,72,18,35882,0.75,0.5,0.8571428571428571,0.5,93.0
healthy_vs_infected,xgb_lr=0.1_depth=5_sub=0.85_col=0.6_lambda=5.0_alpha=0.1_gamma=1.0_mcw=8.0,0.1,5,8.0,0.85,0.6,5.0,0.1,1.0,2000,50,72,18,35882,0.75,0.5,0.8571428571428571,0.5,1.0
healthy_vs_infected,xgb_lr=0.05_depth=4_sub=0.85_col=0.4_lambda=0.0_alpha=0.0_gamma=0.0_mcw=4.0,0.05,4,4.0,0.85,0.4,0.0,0.0,0.0,2000,50,72,18,35882,0.75,0.5,0.8571428571428571,0.5,15.333333333333334
healthy_vs_infected,xgb_lr=0.03_depth=5_sub=0.7_col=1.0_lambda=5.0_alpha=0.0_gamma=1.0_mcw=4.0,0.03,5,4.0,0.7,1.0,5.0,0.0,1.0,2000,50,72,18,35882,0.75,0.5,0.8571428571428571,0.5,27.0
healthy_vs_infected,xgb_lr=0.05_depth=5_sub=0.85_col=0.4_lambda=5.0_alpha=1.0_gamma=0.0_mcw=4.0,0.05,5,4.0,0.85,0.4,5.0,1.0,0.0,2000,50,72,18,35882,0.75,0.5,0.8571428571428571,0.5,28.0
healthy_vs_infected,xgb_lr=0.05_depth=2_sub=0.85_col=1.0_lambda=0.0_alpha=0.1_gamma=1.0_mcw=8.0,0.05,2,8.0,0.85,1.0,0.0,0.1,1.0,2000,50,72,18,35882,0.75,0.5,0.8571428571428571,0.5,1.0
