task,model,penalty,C,l1_ratio,top_k_features,train_samples,test_samples,features,cv_accuracy_mean,cv_balanced_accuracy_mean,cv_f1_mean,cv_roc_auc_mean,test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_f1,test_roc_auc,nonzero_coefficients
severe_vs_nonsevere,elasticnet_C=0.1_l1_ratio=0.5,elasticnet,0.1,0.5,5000,34,9,35882,0.8857142857142858,0.8833333333333332,0.862857142857143,0.95,1.0,1.0,1.0,1.0,1.0,1.0,32
severe_vs_nonsevere,elasticnet_C=1_l1_ratio=0.5,elasticnet,1.0,0.5,5000,34,9,35882,0.7666666666666667,0.7833333333333333,0.7576190476190476,0.8666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,840
severe_vs_nonsevere,normal_default_l2_C=1,l2,1.0,,5000,34,9,35882,0.7333333333333333,0.7583333333333333,0.7309523809523809,0.7583333333333333,0.7777777777777778,0.8,0.6666666666666666,1.0,0.8,1.0,5000
severe_vs_nonsevere,l2_C=0.01,l2,0.01,,5000,34,9,35882,0.7333333333333333,0.7583333333333333,0.7309523809523809,0.6833333333333333,0.7777777777777778,0.8,0.6666666666666666,1.0,0.8,1.0,5000
severe_vs_nonsevere,l2_C=0.1,l2,0.1,,5000,34,9,35882,0.7333333333333333,0.7583333333333333,0.7309523809523809,0.7583333333333333,0.7777777777777778,0.8,0.6666666666666666,1.0,0.8,1.0,5000
severe_vs_nonsevere,l2_C=10,l2,10.0,,5000,34,9,35882,0.7333333333333333,0.7583333333333333,0.7309523809523809,0.775,0.8888888888888888,0.9,0.8,1.0,0.8888888888888888,1.0,5000
severe_vs_nonsevere,l1_C=1,l1,1.0,,5000,34,9,35882,0.7380952380952381,0.7583333333333333,0.7290476190476189,0.9166666666666666,1.0,1.0,1.0,1.0,1.0,1.0,42
severe_vs_nonsevere,l1_C=10,l1,10.0,,5000,34,9,35882,0.7380952380952381,0.7583333333333333,0.7290476190476189,0.8666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,167
severe_vs_nonsevere,l1_C=0.1,l1,0.1,,5000,34,9,35882,0.6476190476190475,0.5666666666666667,0.16,0.6833333333333333,0.7777777777777778,0.75,1.0,0.5,0.6666666666666666,0.85,2
severe_vs_nonsevere,l1_C=0.01,l1,0.01,,5000,34,9,35882,0.5904761904761904,0.5,0.0,0.5,0.5555555555555556,0.5,0.0,0.0,0.0,0.5,0
