task,n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_lambda,reg_alpha,gamma,scale_pos_weight,inner_cv_balanced_accuracy_mean
severe_vs_nonsevere,1500,0.03,3,1.0,0.85,1.0,5.0,0.0,2.0,2.143,0.8416666666666667
severe_vs_nonsevere,1500,0.005,3,1.0,0.85,0.3,5.0,0.0,0.5,1.429,0.7833333333333333
severe_vs_nonsevere,2000,0.005,2,1.0,0.85,1.0,1.0,1.0,0.0,2.143,0.7708333333333334
severe_vs_nonsevere,1500,0.05,5,1.0,0.85,0.7,10.0,0.0,1.0,2.143,0.7583333333333333
severe_vs_nonsevere,500,0.03,2,2.0,0.85,0.5,10.0,0.5,0.5,2.143,0.7125
severe_vs_nonsevere,2000,0.05,4,1.0,1.0,1.0,5.0,1.0,2.0,1.429,0.7041666666666666
severe_vs_nonsevere,2000,0.01,4,1.0,0.5,0.7,20.0,1.0,0.0,2.143,0.7020833333333334
severe_vs_nonsevere,500,0.03,2,2.0,0.85,0.5,10.0,0.5,1.0,1.429,0.6895833333333333
severe_vs_nonsevere,2000,0.01,4,2.0,1.0,0.3,1.0,0.1,0.5,2.143,0.6770833333333334
severe_vs_nonsevere,1000,0.05,2,1.0,0.5,0.3,20.0,0.1,0.0,1.429,0.6770833333333333
severe_vs_nonsevere,500,0.03,2,2.0,1.0,0.7,1.0,0.5,2.0,1.429,0.675
severe_vs_nonsevere,1000,0.01,2,1.0,0.5,0.5,10.0,0.5,0.0,2.143,0.6625000000000001
severe_vs_nonsevere,1500,0.05,4,2.0,1.0,0.3,1.0,0.1,1.0,1.0,0.65625
severe_vs_nonsevere,500,0.005,3,2.0,0.85,1.0,5.0,0.0,0.0,1.429,0.6541666666666667
severe_vs_nonsevere,500,0.03,2,1.0,0.5,0.5,1.0,1.0,0.5,2.143,0.6499999999999999
severe_vs_nonsevere,500,0.005,2,2.0,1.0,0.3,5.0,0.5,0.0,1.429,0.6416666666666667
severe_vs_nonsevere,2000,0.005,2,2.0,1.0,0.7,20.0,0.1,2.0,1.429,0.6416666666666667
severe_vs_nonsevere,1500,0.05,2,1.0,0.85,0.5,20.0,1.0,0.0,1.0,0.6416666666666666
severe_vs_nonsevere,1000,0.01,3,2.0,0.7,0.7,1.0,0.1,1.0,1.429,0.6395833333333333
severe_vs_nonsevere,500,0.01,2,2.0,1.0,1.0,5.0,0.5,0.0,1.0,0.6354166666666666
severe_vs_nonsevere,1000,0.05,3,2.0,0.85,0.5,1.0,0.5,1.0,1.429,0.6291666666666667
severe_vs_nonsevere,1500,0.05,3,1.0,0.5,0.5,20.0,0.1,0.0,1.0,0.6270833333333333
severe_vs_nonsevere,1500,0.005,5,2.0,1.0,0.3,20.0,0.1,2.0,1.429,0.6229166666666667
severe_vs_nonsevere,1500,0.01,4,2.0,0.7,1.0,1.0,1.0,0.5,2.143,0.6229166666666667
severe_vs_nonsevere,1000,0.05,4,2.0,0.85,0.7,20.0,0.5,0.0,1.0,0.6229166666666667
severe_vs_nonsevere,1500,0.03,4,1.0,0.5,0.5,10.0,0.1,0.5,1.0,0.6208333333333333
severe_vs_nonsevere,2000,0.05,3,1.0,0.85,0.3,1.0,0.0,2.0,1.429,0.6166666666666667
severe_vs_nonsevere,1500,0.05,5,1.0,0.85,0.7,5.0,0.5,1.0,1.0,0.6166666666666667
severe_vs_nonsevere,500,0.03,2,1.0,1.0,0.5,20.0,0.1,0.5,1.0,0.6104166666666666
severe_vs_nonsevere,1000,0.01,2,1.0,1.0,1.0,20.0,0.0,2.0,2.143,0.6083333333333334
severe_vs_nonsevere,2000,0.03,4,1.0,0.5,0.3,1.0,0.1,2.0,1.0,0.60625
severe_vs_nonsevere,1000,0.005,3,1.0,1.0,1.0,1.0,0.5,1.0,1.429,0.6020833333333333
severe_vs_nonsevere,1500,0.01,3,2.0,0.7,0.3,5.0,1.0,0.5,2.143,0.6
severe_vs_nonsevere,2000,0.05,3,1.0,0.85,1.0,1.0,0.1,2.0,1.429,0.5833333333333334
severe_vs_nonsevere,1000,0.03,3,2.0,0.5,0.7,1.0,0.5,1.0,1.429,0.5770833333333334
severe_vs_nonsevere,500,0.01,4,1.0,0.7,0.5,20.0,0.5,0.5,2.143,0.56875
severe_vs_nonsevere,2000,0.05,3,2.0,0.5,0.3,20.0,1.0,0.5,2.143,0.56875
severe_vs_nonsevere,500,0.05,5,2.0,1.0,1.0,20.0,1.0,1.0,1.429,0.5645833333333333
severe_vs_nonsevere,500,0.01,3,1.0,0.7,0.3,5.0,0.5,0.0,1.0,0.5583333333333333
severe_vs_nonsevere,1000,0.005,2,2.0,0.5,0.7,1.0,0.5,1.0,1.429,0.5583333333333333
severe_vs_nonsevere,2000,0.005,5,1.0,0.5,0.3,1.0,0.0,0.0,1.0,0.5583333333333333
severe_vs_nonsevere,1000,0.005,3,2.0,1.0,0.7,10.0,0.0,0.5,1.429,0.5562499999999999
severe_vs_nonsevere,1000,0.03,4,2.0,0.85,0.5,10.0,0.0,2.0,1.0,0.5416666666666666
severe_vs_nonsevere,2000,0.005,4,2.0,1.0,0.7,10.0,0.1,0.0,1.0,0.5145833333333334
severe_vs_nonsevere,1500,0.03,4,1.0,0.85,1.0,20.0,0.1,2.0,2.143,0.5125
severe_vs_nonsevere,1500,0.005,4,2.0,0.85,1.0,1.0,0.0,0.0,1.0,0.5083333333333333
severe_vs_nonsevere,500,0.01,5,1.0,0.5,1.0,5.0,0.0,0.5,1.429,0.50625
