task,model,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_lambda,reg_alpha,gamma,n_estimators_max,early_stopping_rounds,train_samples,test_samples,features,cv_accuracy_mean,cv_balanced_accuracy_mean,cv_f1_mean,cv_roc_auc_mean,cv_best_iteration_mean
severe_vs_nonsevere,xgb_lr=0.1_depth=4_sub=1.0_col=0.8_lambda=5.0_alpha=1.0_gamma=0.5_mcw=1.0,0.1,4,1.0,1.0,0.8,5.0,1.0,0.5,2000,50,34,9,35882,0.7323232323232324,0.7246031746031747,0.6119047619047618,0.784126984126984,30.0
severe_vs_nonsevere,xgb_lr=0.1_depth=4_sub=1.0_col=0.8_lambda=1.0_alpha=0.0_gamma=0.5_mcw=1.0,0.1,4,1.0,1.0,0.8,1.0,0.0,0.5,2000,50,34,9,35882,0.6792929292929294,0.6345238095238096,0.3611111111111111,0.6630952380952381,4.666666666666667
severe_vs_nonsevere,xgb_lr=0.01_depth=6_sub=1.0_col=0.6_lambda=1.0_alpha=0.1_gamma=1.0_mcw=2.0,0.01,6,2.0,1.0,0.6,1.0,0.1,1.0,2000,50,34,9,35882,0.6186868686868687,0.5595238095238095,0.19047619047619047,0.6960317460317459,40.333333333333336
severe_vs_nonsevere,xgb_lr=0.01_depth=3_sub=0.7_col=0.4_lambda=10.0_alpha=0.0_gamma=0.5_mcw=1.0,0.01,3,1.0,0.7,0.4,10.0,0.0,0.5,2000,50,34,9,35882,0.6186868686868686,0.5388888888888889,0.16666666666666666,0.5182539682539682,392.0
severe_vs_nonsevere,xgb_lr=0.03_depth=6_sub=1.0_col=1.0_lambda=5.0_alpha=1.0_gamma=0.0_mcw=2.0,0.03,6,2.0,1.0,1.0,5.0,1.0,0.0,2000,50,34,9,35882,0.5883838383838383,0.5,0.0,0.7761904761904761,12.666666666666666
severe_vs_nonsevere,xgb_lr=0.05_depth=5_sub=0.5_col=0.8_lambda=1.0_alpha=0.0_gamma=1.0_mcw=1.0,0.05,5,1.0,0.5,0.8,1.0,0.0,1.0,2000,50,34,9,35882,0.5883838383838383,0.5,0.0,0.703968253968254,2.3333333333333335
severe_vs_nonsevere,xgb_lr=0.05_depth=2_sub=1.0_col=0.6_lambda=1.0_alpha=1.0_gamma=0.0_mcw=2.0,0.05,2,2.0,1.0,0.6,1.0,1.0,0.0,2000,50,34,9,35882,0.5883838383838383,0.5,0.0,0.6551587301587302,12.333333333333334
severe_vs_nonsevere,xgb_lr=0.03_depth=5_sub=0.5_col=0.8_lambda=10.0_alpha=1.0_gamma=0.0_mcw=1.0,0.03,5,1.0,0.5,0.8,10.0,1.0,0.0,2000,50,34,9,35882,0.5883838383838383,0.5,0.0,0.5936507936507937,51.666666666666664
severe_vs_nonsevere,xgb_lr=0.01_depth=5_sub=0.85_col=0.4_lambda=10.0_alpha=0.1_gamma=0.0_mcw=2.0,0.01,5,2.0,0.85,0.4,10.0,0.1,0.0,2000,50,34,9,35882,0.5883838383838383,0.5,0.0,0.5722222222222223,15.0
severe_vs_nonsevere,xgb_lr=0.05_depth=5_sub=0.7_col=0.6_lambda=1.0_alpha=1.0_gamma=0.5_mcw=2.0,0.05,5,2.0,0.7,0.6,1.0,1.0,0.5,2000,50,34,9,35882,0.5883838383838383,0.5,0.0,0.5,24.333333333333332
