task,model,penalty,C,l1_ratio,top_k_features,train_samples,test_samples,features,cv_accuracy_mean,cv_balanced_accuracy_mean,cv_f1_mean,cv_roc_auc_mean,cv_auprc_mean,test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_auprc,nonzero_coefficients
symptomatic_non_covid_vs_covid,l1_C=1,l1,1.0,,5000,54,14,35882,0.9436363636363637,0.9547619047619047,0.9484848484848485,0.9857142857142858,0.9936507936507935,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,48
symptomatic_non_covid_vs_covid,l1_C=10,l1,10.0,,5000,54,14,35882,0.9254545454545455,0.9297619047619048,0.9351515151515152,0.9857142857142858,0.9936507936507935,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,252
symptomatic_non_covid_vs_covid,elasticnet_C=1_l1_ratio=0.5,elasticnet,1.0,0.5,5000,54,14,35882,0.8872727272727273,0.9095238095238095,0.8933333333333333,0.9630952380952381,0.9848484848484848,0.9285714285714286,0.9444444444444444,1.0,0.8888888888888888,0.9411764705882353,1.0,1.0000000000000002,927
symptomatic_non_covid_vs_covid,elasticnet_C=0.1_l1_ratio=0.5,elasticnet,0.1,0.5,5000,54,14,35882,0.849090909090909,0.8785714285714284,0.8454545454545455,0.9785714285714284,0.990079365079365,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,62
symptomatic_non_covid_vs_covid,l1_C=0.1,l1,0.1,,5000,54,14,35882,0.8109090909090909,0.8261904761904763,0.8034032634032634,0.9666666666666666,0.982142857142857,0.8571428571428571,0.8888888888888888,1.0,0.7777777777777778,0.875,1.0,1.0000000000000002,6
symptomatic_non_covid_vs_covid,l2_C=0.01,l2,0.01,,5000,54,14,35882,0.7763636363636364,0.8107142857142857,0.7738461538461539,0.8809523809523808,0.9387827252112965,0.8571428571428571,0.8888888888888888,1.0,0.7777777777777778,0.875,0.9555555555555555,0.9797979797979799,5000
symptomatic_non_covid_vs_covid,normal_default_l2_C=1,l2,1.0,,5000,54,14,35882,0.7763636363636364,0.8107142857142857,0.7603174603174603,0.8880952380952382,0.9439868068439496,0.8571428571428571,0.8888888888888888,1.0,0.7777777777777778,0.875,0.9555555555555555,0.9797979797979799,5000
symptomatic_non_covid_vs_covid,l2_C=0.1,l2,0.1,,5000,54,14,35882,0.7763636363636364,0.8107142857142857,0.7603174603174603,0.8880952380952382,0.9439868068439496,0.8571428571428571,0.8888888888888888,1.0,0.7777777777777778,0.875,0.9555555555555555,0.9797979797979799,5000
symptomatic_non_covid_vs_covid,l2_C=10,l2,10.0,,5000,54,14,35882,0.7581818181818182,0.7964285714285715,0.7449328449328448,0.8821428571428571,0.9404834054834055,0.9285714285714286,0.9444444444444444,1.0,0.8888888888888888,0.9411764705882353,0.9777777777777779,0.9888888888888892,5000
symptomatic_non_covid_vs_covid,l1_C=0.01,l1,0.01,,5000,54,14,35882,0.3709090909090909,0.5,0.0,0.5,0.6290909090909091,0.35714285714285715,0.5,0.0,0.0,0.0,0.5,0.6428571428571429,0
