task,n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_lambda,reg_alpha,gamma,scale_pos_weight,inner_cv_balanced_accuracy_mean
symptomatic_non_covid_vs_covid,2000,0.01,3,1.0,0.85,0.3,5.0,0.1,0.0,1.5,0.8687499999999999
symptomatic_non_covid_vs_covid,2000,0.005,3,1.0,0.7,1.0,1.0,0.5,0.0,1.0,0.853125
symptomatic_non_covid_vs_covid,500,0.05,3,2.0,0.85,0.5,20.0,0.1,0.0,1.0,0.853125
symptomatic_non_covid_vs_covid,1000,0.01,2,1.0,1.0,0.7,20.0,0.5,1.0,1.0,0.8343750000000001
symptomatic_non_covid_vs_covid,1000,0.01,3,2.0,0.85,1.0,1.0,0.0,0.5,1.0,0.828125
symptomatic_non_covid_vs_covid,500,0.03,5,2.0,1.0,0.5,1.0,0.0,2.0,1.5,0.828125
symptomatic_non_covid_vs_covid,1000,0.01,3,2.0,0.85,0.3,5.0,1.0,0.0,1.5,0.81875
symptomatic_non_covid_vs_covid,2000,0.05,2,2.0,0.7,0.7,1.0,0.1,0.5,1.5,0.81875
symptomatic_non_covid_vs_covid,1500,0.03,5,1.0,0.85,1.0,5.0,1.0,1.0,1.0,0.8125
symptomatic_non_covid_vs_covid,1500,0.01,3,1.0,0.85,1.0,1.0,0.0,0.5,1.5,0.8125
symptomatic_non_covid_vs_covid,2000,0.05,3,2.0,1.0,1.0,1.0,0.1,1.0,1.0,0.8048611111111111
symptomatic_non_covid_vs_covid,1000,0.03,5,2.0,1.0,0.7,5.0,1.0,0.0,1.0,0.8031250000000001
symptomatic_non_covid_vs_covid,1500,0.05,2,2.0,0.85,1.0,20.0,0.5,0.0,1.0,0.8031250000000001
symptomatic_non_covid_vs_covid,2000,0.05,4,2.0,0.85,0.5,20.0,1.0,0.5,1.5,0.8
symptomatic_non_covid_vs_covid,500,0.005,3,2.0,0.85,0.3,1.0,0.5,0.0,1.5,0.79375
symptomatic_non_covid_vs_covid,500,0.005,4,2.0,1.0,0.3,5.0,1.0,0.5,1.0,0.79375
symptomatic_non_covid_vs_covid,500,0.01,2,2.0,0.85,0.5,5.0,0.0,1.0,1.0,0.79375
symptomatic_non_covid_vs_covid,1000,0.05,5,2.0,0.85,0.5,10.0,0.0,2.0,1.5,0.79375
symptomatic_non_covid_vs_covid,1000,0.01,3,2.0,0.7,1.0,5.0,0.5,2.0,1.0,0.79375
symptomatic_non_covid_vs_covid,1000,0.03,3,1.0,0.85,0.3,5.0,1.0,2.0,1.0,0.7843749999999999
symptomatic_non_covid_vs_covid,500,0.03,3,2.0,0.85,0.7,20.0,0.0,0.0,1.5,0.7843749999999999
symptomatic_non_covid_vs_covid,1000,0.05,5,1.0,0.7,0.5,1.0,0.5,0.0,1.0,0.7687499999999999
symptomatic_non_covid_vs_covid,500,0.05,5,2.0,0.85,0.7,10.0,1.0,1.0,1.0,0.7625
symptomatic_non_covid_vs_covid,500,0.03,5,1.0,0.5,0.5,1.0,0.0,0.5,1.5,0.7593749999999999
symptomatic_non_covid_vs_covid,2000,0.01,4,2.0,1.0,1.0,1.0,0.1,0.5,1.0,0.753125
symptomatic_non_covid_vs_covid,1000,0.05,4,1.0,0.7,0.7,10.0,0.1,0.0,1.0,0.74375
symptomatic_non_covid_vs_covid,1500,0.01,2,1.0,0.85,0.3,1.0,0.0,0.0,1.5,0.74375
